ClienteID,Nombre,Email,País,FechaRegistro
36,Cliente 36,cliente36@cardsa.com,Uruguay,2021-09-03
37,Cliente 37,cliente37@cardsa.com,Brasil,2021-09-10
38,Cliente 38,cliente38@cardsa.com,Brasil,2021-09-17
39,Cliente 39,cliente39@cardsa.com,Chile,2021-09-24
40,Cliente 40,cliente40@cardsa.com,Chile,2021-10-01
41,Cliente 41,cliente41@cardsa.com,Brasil,2021-10-08
42,Cliente 42,cliente42@cardsa.com,Chile,2021-10-15
43,Cliente 43,cliente43@cardsa.com,Argentina,2021-10-22
44,Cliente 44,cliente44@cardsa.com,Argentina,2021-10-29
45,Cliente 45,cliente45@cardsa.com,Uruguay,2021-11-05
46,Cliente 46,cliente46@cardsa.com,Brasil,2021-11-12
47,Cliente 47,cliente47@cardsa.com,Chile,2021-11-19
48,Cliente 48,cliente48@cardsa.com,Brasil,2021-11-26
49,Cliente 49,cliente49@cardsa.com,Uruguay,2021-12-03
50,Cliente 50,cliente50@cardsa.com,Argentina,2021-12-10
51,Cliente 51,cliente51@cardsa.com,Uruguay,2021-12-17
52,Cliente 52,cliente52@cardsa.com,Argentina,2021-12-24
53,Cliente 53,cliente53@cardsa.com,Argentina,2021-12-31
54,Cliente 54,cliente54@cardsa.com,Uruguay,2022-01-07
55,Cliente 55,cliente55@cardsa.com,Chile,2022-01-14
56,Cliente 56,cliente56@cardsa.com,Uruguay,2022-01-21
57,Cliente 57,cliente57@cardsa.com,Chile,2022-01-28
58,Cliente 58,cliente58@cardsa.com,Chile,2022-02-04
59,Cliente 59,cliente59@cardsa.com,Uruguay,2022-02-11
60,Cliente 60,cliente60@cardsa.com,Uruguay,2022-02-18
61,Cliente 61,cliente61@cardsa.com,Brasil,2022-02-25
62,Cliente 62,cliente62@cardsa.com,Uruguay,2022-03-04
63,Cliente 63,cliente63@cardsa.com,Argentina,2022-03-11
64,Cliente 64,cliente64@cardsa.com,Argentina,2022-03-18
65,Cliente 65,cliente65@cardsa.com,Argentina,2022-03-25
66,Cliente 66,cliente66@cardsa.com,Chile,2022-04-01
67,Cliente 67,cliente67@cardsa.com,Argentina,2022-04-08
68,Cliente 68,cliente68@cardsa.com,Chile,2022-04-15
69,Cliente 69,cliente69@cardsa.com,Chile,2022-04-22
70,Cliente 70,cliente70@cardsa.com,Brasil,2022-04-29
71,Cliente 71,cliente71@cardsa.com,Chile,2022-05-06
72,Cliente 72,cliente72@cardsa.com,Argentina,2022-05-13
73,Cliente 73,cliente73@cardsa.com,Brasil,2022-05-20
74,Cliente 74,cliente74@cardsa.com,Brasil,2022-05-27
75,Cliente 75,cliente75@cardsa.com,Argentina,2022-06-03
76,Cliente 76,cliente76@cardsa.com,Brasil,2022-06-10
77,Cliente 77,cliente77@cardsa.com,Chile,2022-06-17
78,Cliente 78,cliente78@cardsa.com,Brasil,2022-06-24
79,Cliente 79,cliente79@cardsa.com,Uruguay,2022-07-01
80,Cliente 80,cliente80@cardsa.com,Brasil,2022-07-08
81,Cliente 81,cliente81@cardsa.com,Uruguay,2022-07-15
82,Cliente 82,cliente82@cardsa.com,Uruguay,2022-07-22
83,Cliente 83,cliente83@cardsa.com,Brasil,2022-07-29
84,Cliente 84,cliente84@cardsa.com,Brasil,2022-08-05
85,Cliente 85,cliente85@cardsa.com,Argentina,2022-08-12
86,Cliente 86,cliente86@cardsa.com,Uruguay,2022-08-19
87,Cliente 87,cliente87@cardsa.com,Brasil,2022-08-26
88,Cliente 88,cliente88@cardsa.com,Chile,2022-09-02
89,Cliente 89,cliente89@cardsa.com,Brasil,2022-09-09
90,Cliente 90,cliente90@cardsa.com,Brasil,2022-09-16
91,Cliente 91,cliente91@cardsa.com,Brasil,2022-09-23
92,Cliente 92,cliente92@cardsa.com,Brasil,2022-09-30
93,Cliente 93,cliente93@cardsa.com,Uruguay,2022-10-07
94,Cliente 94,cliente94@cardsa.com,Argentina,2022-10-14
95,Cliente 95,cliente95@cardsa.com,Uruguay,2022-10-21
96,Cliente 96,cliente96@cardsa.com,Brasil,2022-10-28
97,Cliente 97,cliente97@cardsa.com,Chile,2022-11-04
98,Cliente 98,cliente98@cardsa.com,Chile,2022-11-11
99,Cliente 99,cliente99@cardsa.com,Argentina,2022-11-18
100,Cliente 100,cliente100@cardsa.com,Uruguay,2022-11-25
